Team,Name,Spese,Entrate,Trofei
Ascoli,ASC,0,0,0
Atalanta,ATA,291,375,0
Bari,BAR,38,44,0
Benevento,BEN,45,13,0
Bologna,BOL,250,173,0
Brescia,BRE,45,69,0
Cagliari,CAG,180,139,0
Carpi,CAR,4,18,0
Catania,CAT,54,85,0
Cesena,CES,47,78,0
Chievo,CHI,79,121,0
Crotone,CRO,15,24,0
Empoli,EMP,55,140,0
Fiorentina,FIO,406,392,0
Frosinone,FRO,16,12,0
Genoa,GEN,426,616,0
Inter,INT,1020,695,6
Juventus,JUV,1400,905,16
Lazio,LAZ,315,273,4
Lecce,LEC,16,25,0
Livorno,LIV,10,29,0
Messina,MES,0,0,0
Milan,MIL,890,484,3
Napoli,NAP,796,477,3
Novara,NOV,17,26,0
Palermo,PAL,179,283,0
Parma,PAR,179,166,0
Pescara,PES,66,101,0
Reggina,REG,0,0,0
Roma,ROM,859,831,0
Sampdoria,SAM,359,439,0
Sassuolo,SAS,265,190,0
Siena,SIE,48,77,0
Spal,SPA,57,40,0
Torino,TOR,250,251,0
Treviso,TRE,0,0,0
Udinese,UDI,259,466,0
Verona,VER,71,103,0
